#    ID RA            Dec          F814W   F555W
#       [deg]         [deg]
      1 161.74039749  17.26052055  28.710  30.245
      2 161.74042300  17.26035781  28.343  29.956
      3 161.74241413  17.26580142  27.946  30.044
      4 161.74133249  17.26267488  28.948  31.302
      5 161.74421498  17.27049825  28.978  31.061
      6 161.74466437  17.27173723  27.787  29.602
      7 161.74458767  17.27149923  28.535  30.391
      8 161.74313202  17.26745533  27.569  31.192
      9 161.74437978  17.27091200  28.914  30.824
     10 161.74570324  17.27433339  28.034  30.327
     11 161.74080679  17.26066206  29.027  29.942
     12 161.74569505  17.27420993  28.501  30.111
     13 161.74521295  17.27285198  28.989  29.914
     14 161.74511792  17.27258010  27.913  29.767
     15 161.74665069  17.27680626  27.684  30.252
     16 161.74082266  17.26062874  28.750  30.007
     17 161.74167115  17.26296593  29.069  29.785
     18 161.74339589  17.26773708  28.658  30.318
     19 161.74623773  17.27559590  28.496  30.070
     20 161.74533119  17.27306477  27.325  28.938
     21 161.74687580  17.27731787  28.874  30.325
     22 161.74224856  17.26447275  28.101  30.152
     23 161.74587093  17.27452324  27.795  30.059
     24 161.74730360  17.27848875  28.413  29.503
     25 161.74656868  17.27644164  28.669  30.108
     26 161.74651075  17.27625980  27.905  29.727
     27 161.74441632  17.27043731  28.719  30.401
     28 161.74181554  17.26320334  28.249  30.824
     29 161.74724788  17.27826674  29.049  29.904
     30 161.74455787  17.27079510  28.541  30.239
     31 161.74758392  17.27918890  28.607  29.612
     32 161.74567290  17.27386940  28.607  30.105
     33 161.74299119  17.26637789  27.741  29.983
     34 161.74098079  17.26078577  29.039  30.711
     35 161.74744111  17.27869890  28.614  29.939
     36 161.74621035  17.27526569  28.950  30.144
     37 161.74821196  17.28080612  28.652  30.453
     38 161.74522427  17.27245908  27.939  30.081
     39 161.74668240  17.27649007  28.780  31.225
     40 161.74808148  17.28037309  27.513  29.821
     41 161.74859509  17.28178898  28.121  29.223
     42 161.74803356  17.28022127  28.913  30.108
     43 161.74835153  17.28109955  28.311  30.980
